,Imgdata,Price,Rating,Title
14,"{'src': '../media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg', 'alt': ""Sophie's World""}",15.94,Five,Sophie's World
15,"{'src': '../media/cache/12/53/1253c21c5ef3c6d075c5fa3f5fecee6a.jpg', 'alt': 'Penny Maybe'}",33.29,Three,Penny Maybe
16,"{'src': '../media/cache/f5/88/f5889d038f5d8e949b494d147c2dcf54.jpg', 'alt': 'Maude (1883-1993):She Grew Up with the country'}",18.02,Two,Maude (1883-1993):She Grew Up with the country
17,"{'src': '../media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg', 'alt': 'In a Dark, Dark Wood'}",19.63,One,"In a Dark, Dark Wood"
18,"{'src': '../media/cache/e1/5c/e15c289ba58cea38519e1281e859f0c1.jpg', 'alt': 'Behind Closed Doors'}",52.22,Four,Behind Closed Doors
19,"{'src': '../media/cache/e9/20/e9203b733126c4a0832a1c7885dc27cf.jpg', 'alt': ""You can't bury them all: Poems""}",33.63,Two,You can't bury them all: Poems
20,"{'src': '../media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg', 'alt': 'In Her Wake'}",12.84,One,In Her Wake
21,"{'src': '../media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg', 'alt': 'How Music Works'}",37.32,Two,How Music Works
22,"{'src': '../media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg', 'alt': 'Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More'}",30.52,Three,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More"
23,"{'src': '../media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg', 'alt': 'Chase Me (Paris Nights #2)'}",25.27,Five,Chase Me (Paris Nights #2)
24,"{'src': '../media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg', 'alt': 'Black Dust'}",34.53,Five,Black Dust
25,"{'src': '../media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg', 'alt': 'Birdsong: A Story in Pictures'}",54.64,Three,Birdsong: A Story in Pictures
26,"{'src': '../media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg', 'alt': ""America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana""}",22.50,Three,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana
27,"{'src': '../media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg', 'alt': 'Aladdin and His Wonderful Lamp'}",53.13,Three,Aladdin and His Wonderful Lamp
28,"{'src': '../media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg', 'alt': 'Worlds Elsewhere: Journeys Around Shakespeare’s Globe'}",40.30,Five,Worlds Elsewhere: Journeys Around Shakespeare’s Globe
29,"{'src': '../media/cache/a5/41/a5416b9646aaa7287baa287ec2590270.jpg', 'alt': 'Wall and Piece'}",44.18,Four,Wall and Piece
30,"{'src': '../media/cache/0f/7e/0f7ee69495c0df1d35723f012624a9f8.jpg', 'alt': 'The Four Agreements: A Practical Guide to Personal Freedom'}",17.66,Five,The Four Agreements: A Practical Guide to Personal Freedom
31,"{'src': '../media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg', 'alt': 'The Five Love Languages: How to Express Heartfelt Commitment to Your Mate'}",31.05,Three,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate
32,"{'src': '../media/cache/5d/7e/5d7ecde8e81513eba8a64c9fe000744b.jpg', 'alt': 'The Elephant Tree'}",23.82,Five,The Elephant Tree
33,"{'src': '../media/cache/cf/bb/cfbb5e62715c6d888fd07794c9bab5d6.jpg', 'alt': 'The Bear and the Piano'}",36.89,One,The Bear and the Piano
34,"{'src': '../media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg', 'alt': ""Sophie's World""}",15.94,Five,Sophie's World
35,"{'src': '../media/cache/12/53/1253c21c5ef3c6d075c5fa3f5fecee6a.jpg', 'alt': 'Penny Maybe'}",33.29,Three,Penny Maybe
36,"{'src': '../media/cache/f5/88/f5889d038f5d8e949b494d147c2dcf54.jpg', 'alt': 'Maude (1883-1993):She Grew Up with the country'}",18.02,Two,Maude (1883-1993):She Grew Up with the country
37,"{'src': '../media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg', 'alt': 'In a Dark, Dark Wood'}",19.63,One,"In a Dark, Dark Wood"
38,"{'src': '../media/cache/e1/5c/e15c289ba58cea38519e1281e859f0c1.jpg', 'alt': 'Behind Closed Doors'}",52.22,Four,Behind Closed Doors
39,"{'src': '../media/cache/e9/20/e9203b733126c4a0832a1c7885dc27cf.jpg', 'alt': ""You can't bury them all: Poems""}",33.63,Two,You can't bury them all: Poems
40,"{'src': '../media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg', 'alt': 'In Her Wake'}",12.84,One,In Her Wake
41,"{'src': '../media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg', 'alt': 'How Music Works'}",37.32,Two,How Music Works
42,"{'src': '../media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg', 'alt': 'Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More'}",30.52,Three,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More"
43,"{'src': '../media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg', 'alt': 'Chase Me (Paris Nights #2)'}",25.27,Five,Chase Me (Paris Nights #2)
44,"{'src': '../media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg', 'alt': 'Black Dust'}",34.53,Five,Black Dust
45,"{'src': '../media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg', 'alt': 'Birdsong: A Story in Pictures'}",54.64,Three,Birdsong: A Story in Pictures
46,"{'src': '../media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg', 'alt': ""America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana""}",22.50,Three,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana
47,"{'src': '../media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg', 'alt': 'Aladdin and His Wonderful Lamp'}",53.13,Three,Aladdin and His Wonderful Lamp
48,"{'src': '../media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg', 'alt': 'Worlds Elsewhere: Journeys Around Shakespeare’s Globe'}",40.30,Five,Worlds Elsewhere: Journeys Around Shakespeare’s Globe
49,"{'src': '../media/cache/a5/41/a5416b9646aaa7287baa287ec2590270.jpg', 'alt': 'Wall and Piece'}",44.18,Four,Wall and Piece
50,"{'src': '../media/cache/0f/7e/0f7ee69495c0df1d35723f012624a9f8.jpg', 'alt': 'The Four Agreements: A Practical Guide to Personal Freedom'}",17.66,Five,The Four Agreements: A Practical Guide to Personal Freedom
51,"{'src': '../media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg', 'alt': 'The Five Love Languages: How to Express Heartfelt Commitment to Your Mate'}",31.05,Three,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate
52,"{'src': '../media/cache/5d/7e/5d7ecde8e81513eba8a64c9fe000744b.jpg', 'alt': 'The Elephant Tree'}",23.82,Five,The Elephant Tree
53,"{'src': '../media/cache/cf/bb/cfbb5e62715c6d888fd07794c9bab5d6.jpg', 'alt': 'The Bear and the Piano'}",36.89,One,The Bear and the Piano
54,"{'src': '../media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg', 'alt': ""Sophie's World""}",15.94,Five,Sophie's World
55,"{'src': '../media/cache/12/53/1253c21c5ef3c6d075c5fa3f5fecee6a.jpg', 'alt': 'Penny Maybe'}",33.29,Three,Penny Maybe
56,"{'src': '../media/cache/f5/88/f5889d038f5d8e949b494d147c2dcf54.jpg', 'alt': 'Maude (1883-1993):She Grew Up with the country'}",18.02,Two,Maude (1883-1993):She Grew Up with the country
57,"{'src': '../media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg', 'alt': 'In a Dark, Dark Wood'}",19.63,One,"In a Dark, Dark Wood"
58,"{'src': '../media/cache/e1/5c/e15c289ba58cea38519e1281e859f0c1.jpg', 'alt': 'Behind Closed Doors'}",52.22,Four,Behind Closed Doors
59,"{'src': '../media/cache/e9/20/e9203b733126c4a0832a1c7885dc27cf.jpg', 'alt': ""You can't bury them all: Poems""}",33.63,Two,You can't bury them all: Poems
60,"{'src': '../media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg', 'alt': 'In Her Wake'}",12.84,One,In Her Wake
61,"{'src': '../media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg', 'alt': 'How Music Works'}",37.32,Two,How Music Works
62,"{'src': '../media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg', 'alt': 'Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More'}",30.52,Three,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More"
63,"{'src': '../media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg', 'alt': 'Chase Me (Paris Nights #2)'}",25.27,Five,Chase Me (Paris Nights #2)
64,"{'src': '../media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg', 'alt': 'Black Dust'}",34.53,Five,Black Dust
65,"{'src': '../media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg', 'alt': 'Birdsong: A Story in Pictures'}",54.64,Three,Birdsong: A Story in Pictures
66,"{'src': '../media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg', 'alt': ""America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana""}",22.50,Three,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana
67,"{'src': '../media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg', 'alt': 'Aladdin and His Wonderful Lamp'}",53.13,Three,Aladdin and His Wonderful Lamp
68,"{'src': '../media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg', 'alt': 'Worlds Elsewhere: Journeys Around Shakespeare’s Globe'}",40.30,Five,Worlds Elsewhere: Journeys Around Shakespeare’s Globe
69,"{'src': '../media/cache/a5/41/a5416b9646aaa7287baa287ec2590270.jpg', 'alt': 'Wall and Piece'}",44.18,Four,Wall and Piece
70,"{'src': '../media/cache/0f/7e/0f7ee69495c0df1d35723f012624a9f8.jpg', 'alt': 'The Four Agreements: A Practical Guide to Personal Freedom'}",17.66,Five,The Four Agreements: A Practical Guide to Personal Freedom
71,"{'src': '../media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg', 'alt': 'The Five Love Languages: How to Express Heartfelt Commitment to Your Mate'}",31.05,Three,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate
72,"{'src': '../media/cache/5d/7e/5d7ecde8e81513eba8a64c9fe000744b.jpg', 'alt': 'The Elephant Tree'}",23.82,Five,The Elephant Tree
73,"{'src': '../media/cache/cf/bb/cfbb5e62715c6d888fd07794c9bab5d6.jpg', 'alt': 'The Bear and the Piano'}",36.89,One,The Bear and the Piano
74,"{'src': '../media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg', 'alt': ""Sophie's World""}",15.94,Five,Sophie's World
75,"{'src': '../media/cache/12/53/1253c21c5ef3c6d075c5fa3f5fecee6a.jpg', 'alt': 'Penny Maybe'}",33.29,Three,Penny Maybe
76,"{'src': '../media/cache/f5/88/f5889d038f5d8e949b494d147c2dcf54.jpg', 'alt': 'Maude (1883-1993):She Grew Up with the country'}",18.02,Two,Maude (1883-1993):She Grew Up with the country
77,"{'src': '../media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg', 'alt': 'In a Dark, Dark Wood'}",19.63,One,"In a Dark, Dark Wood"
78,"{'src': '../media/cache/e1/5c/e15c289ba58cea38519e1281e859f0c1.jpg', 'alt': 'Behind Closed Doors'}",52.22,Four,Behind Closed Doors
79,"{'src': '../media/cache/e9/20/e9203b733126c4a0832a1c7885dc27cf.jpg', 'alt': ""You can't bury them all: Poems""}",33.63,Two,You can't bury them all: Poems
80,"{'src': '../media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg', 'alt': 'In Her Wake'}",12.84,One,In Her Wake
81,"{'src': '../media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg', 'alt': 'How Music Works'}",37.32,Two,How Music Works
82,"{'src': '../media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg', 'alt': 'Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More'}",30.52,Three,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More"
83,"{'src': '../media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg', 'alt': 'Chase Me (Paris Nights #2)'}",25.27,Five,Chase Me (Paris Nights #2)
84,"{'src': '../media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg', 'alt': 'Black Dust'}",34.53,Five,Black Dust
85,"{'src': '../media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg', 'alt': 'Birdsong: A Story in Pictures'}",54.64,Three,Birdsong: A Story in Pictures
86,"{'src': '../media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg', 'alt': ""America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana""}",22.50,Three,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana
87,"{'src': '../media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg', 'alt': 'Aladdin and His Wonderful Lamp'}",53.13,Three,Aladdin and His Wonderful Lamp
88,"{'src': '../media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg', 'alt': 'Worlds Elsewhere: Journeys Around Shakespeare’s Globe'}",40.30,Five,Worlds Elsewhere: Journeys Around Shakespeare’s Globe
89,"{'src': '../media/cache/a5/41/a5416b9646aaa7287baa287ec2590270.jpg', 'alt': 'Wall and Piece'}",44.18,Four,Wall and Piece
90,"{'src': '../media/cache/0f/7e/0f7ee69495c0df1d35723f012624a9f8.jpg', 'alt': 'The Four Agreements: A Practical Guide to Personal Freedom'}",17.66,Five,The Four Agreements: A Practical Guide to Personal Freedom
91,"{'src': '../media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg', 'alt': 'The Five Love Languages: How to Express Heartfelt Commitment to Your Mate'}",31.05,Three,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate
92,"{'src': '../media/cache/5d/7e/5d7ecde8e81513eba8a64c9fe000744b.jpg', 'alt': 'The Elephant Tree'}",23.82,Five,The Elephant Tree
93,"{'src': '../media/cache/cf/bb/cfbb5e62715c6d888fd07794c9bab5d6.jpg', 'alt': 'The Bear and the Piano'}",36.89,One,The Bear and the Piano
94,"{'src': '../media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg', 'alt': ""Sophie's World""}",15.94,Five,Sophie's World
95,"{'src': '../media/cache/12/53/1253c21c5ef3c6d075c5fa3f5fecee6a.jpg', 'alt': 'Penny Maybe'}",33.29,Three,Penny Maybe
96,"{'src': '../media/cache/f5/88/f5889d038f5d8e949b494d147c2dcf54.jpg', 'alt': 'Maude (1883-1993):She Grew Up with the country'}",18.02,Two,Maude (1883-1993):She Grew Up with the country
97,"{'src': '../media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg', 'alt': 'In a Dark, Dark Wood'}",19.63,One,"In a Dark, Dark Wood"
98,"{'src': '../media/cache/e1/5c/e15c289ba58cea38519e1281e859f0c1.jpg', 'alt': 'Behind Closed Doors'}",52.22,Four,Behind Closed Doors
99,"{'src': '../media/cache/e9/20/e9203b733126c4a0832a1c7885dc27cf.jpg', 'alt': ""You can't bury them all: Poems""}",33.63,Two,You can't bury them all: Poems
100,"{'src': '../media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg', 'alt': 'In Her Wake'}",12.84,One,In Her Wake
101,"{'src': '../media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg', 'alt': 'How Music Works'}",37.32,Two,How Music Works
102,"{'src': '../media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg', 'alt': 'Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More'}",30.52,Three,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More"
103,"{'src': '../media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg', 'alt': 'Chase Me (Paris Nights #2)'}",25.27,Five,Chase Me (Paris Nights #2)
104,"{'src': '../media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg', 'alt': 'Black Dust'}",34.53,Five,Black Dust
105,"{'src': '../media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg', 'alt': 'Birdsong: A Story in Pictures'}",54.64,Three,Birdsong: A Story in Pictures
106,"{'src': '../media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg', 'alt': ""America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana""}",22.50,Three,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana
107,"{'src': '../media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg', 'alt': 'Aladdin and His Wonderful Lamp'}",53.13,Three,Aladdin and His Wonderful Lamp
108,"{'src': '../media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg', 'alt': 'Worlds Elsewhere: Journeys Around Shakespeare’s Globe'}",40.30,Five,Worlds Elsewhere: Journeys Around Shakespeare’s Globe
109,"{'src': '../media/cache/a5/41/a5416b9646aaa7287baa287ec2590270.jpg', 'alt': 'Wall and Piece'}",44.18,Four,Wall and Piece
110,"{'src': '../media/cache/0f/7e/0f7ee69495c0df1d35723f012624a9f8.jpg', 'alt': 'The Four Agreements: A Practical Guide to Personal Freedom'}",17.66,Five,The Four Agreements: A Practical Guide to Personal Freedom
111,"{'src': '../media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg', 'alt': 'The Five Love Languages: How to Express Heartfelt Commitment to Your Mate'}",31.05,Three,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate
112,"{'src': '../media/cache/5d/7e/5d7ecde8e81513eba8a64c9fe000744b.jpg', 'alt': 'The Elephant Tree'}",23.82,Five,The Elephant Tree
113,"{'src': '../media/cache/cf/bb/cfbb5e62715c6d888fd07794c9bab5d6.jpg', 'alt': 'The Bear and the Piano'}",36.89,One,The Bear and the Piano
114,"{'src': '../media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg', 'alt': ""Sophie's World""}",15.94,Five,Sophie's World
115,"{'src': '../media/cache/12/53/1253c21c5ef3c6d075c5fa3f5fecee6a.jpg', 'alt': 'Penny Maybe'}",33.29,Three,Penny Maybe
116,"{'src': '../media/cache/f5/88/f5889d038f5d8e949b494d147c2dcf54.jpg', 'alt': 'Maude (1883-1993):She Grew Up with the country'}",18.02,Two,Maude (1883-1993):She Grew Up with the country
117,"{'src': '../media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg', 'alt': 'In a Dark, Dark Wood'}",19.63,One,"In a Dark, Dark Wood"
118,"{'src': '../media/cache/e1/5c/e15c289ba58cea38519e1281e859f0c1.jpg', 'alt': 'Behind Closed Doors'}",52.22,Four,Behind Closed Doors
119,"{'src': '../media/cache/e9/20/e9203b733126c4a0832a1c7885dc27cf.jpg', 'alt': ""You can't bury them all: Poems""}",33.63,Two,You can't bury them all: Poems
120,"{'src': '../media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg', 'alt': 'In Her Wake'}",12.84,One,In Her Wake
121,"{'src': '../media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg', 'alt': 'How Music Works'}",37.32,Two,How Music Works
122,"{'src': '../media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg', 'alt': 'Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More'}",30.52,Three,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More"
123,"{'src': '../media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg', 'alt': 'Chase Me (Paris Nights #2)'}",25.27,Five,Chase Me (Paris Nights #2)
124,"{'src': '../media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg', 'alt': 'Black Dust'}",34.53,Five,Black Dust
125,"{'src': '../media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg', 'alt': 'Birdsong: A Story in Pictures'}",54.64,Three,Birdsong: A Story in Pictures
126,"{'src': '../media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg', 'alt': ""America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana""}",22.50,Three,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana
127,"{'src': '../media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg', 'alt': 'Aladdin and His Wonderful Lamp'}",53.13,Three,Aladdin and His Wonderful Lamp
128,"{'src': '../media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg', 'alt': 'Worlds Elsewhere: Journeys Around Shakespeare’s Globe'}",40.30,Five,Worlds Elsewhere: Journeys Around Shakespeare’s Globe
129,"{'src': '../media/cache/a5/41/a5416b9646aaa7287baa287ec2590270.jpg', 'alt': 'Wall and Piece'}",44.18,Four,Wall and Piece
130,"{'src': '../media/cache/0f/7e/0f7ee69495c0df1d35723f012624a9f8.jpg', 'alt': 'The Four Agreements: A Practical Guide to Personal Freedom'}",17.66,Five,The Four Agreements: A Practical Guide to Personal Freedom
131,"{'src': '../media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg', 'alt': 'The Five Love Languages: How to Express Heartfelt Commitment to Your Mate'}",31.05,Three,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate
132,"{'src': '../media/cache/5d/7e/5d7ecde8e81513eba8a64c9fe000744b.jpg', 'alt': 'The Elephant Tree'}",23.82,Five,The Elephant Tree
133,"{'src': '../media/cache/cf/bb/cfbb5e62715c6d888fd07794c9bab5d6.jpg', 'alt': 'The Bear and the Piano'}",36.89,One,The Bear and the Piano
134,"{'src': '../media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg', 'alt': ""Sophie's World""}",15.94,Five,Sophie's World
135,"{'src': '../media/cache/12/53/1253c21c5ef3c6d075c5fa3f5fecee6a.jpg', 'alt': 'Penny Maybe'}",33.29,Three,Penny Maybe
136,"{'src': '../media/cache/f5/88/f5889d038f5d8e949b494d147c2dcf54.jpg', 'alt': 'Maude (1883-1993):She Grew Up with the country'}",18.02,Two,Maude (1883-1993):She Grew Up with the country
137,"{'src': '../media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg', 'alt': 'In a Dark, Dark Wood'}",19.63,One,"In a Dark, Dark Wood"
138,"{'src': '../media/cache/e1/5c/e15c289ba58cea38519e1281e859f0c1.jpg', 'alt': 'Behind Closed Doors'}",52.22,Four,Behind Closed Doors
139,"{'src': '../media/cache/e9/20/e9203b733126c4a0832a1c7885dc27cf.jpg', 'alt': ""You can't bury them all: Poems""}",33.63,Two,You can't bury them all: Poems
